SIRUTA	DENLOC	CODP	JUD	SIRSUP	TIP	NIV	MED	REGIUNE	FSJ	FSL	FS2	FS3	POND	rang	fictiv
10	JUDETUL ALBA                     	0	1	1	40	1	0	7	1	0100000000000	       	       	253818191938270013271613                                          	   	
1017	MUNICIPIUL ALBA IULIA            	0	1	10	1	2	1	7	1	0110040000000	01     	       	283829231723312338270013271613002338272313                        	II 	
1026	ALBA IULIA                       	510005	1	1017	9	3	1	7	1	0110040100007	0110040	1000084	13271613002338272313                                              	II 	
1035	BARABANT                         	510001	1	1017	10	3	1	7	1	0110040500032	0110040	2000732	1616333316132929                                                  	V  	
1044	MICESTI                          	510002	1	1017	10	3	1	7	1	0110040500400	0110040	2007411	28231719193623                                                    	V  	
1053	OARDA                            	510003	1	1017	10	3	1	7	1	0110040500432	0110040	2008111	3013331813                                                        	V  	
1062	PACLISA                          	510004	1	1017	10	3	1	7	1	0110040500457	0110040	2008620	31151727232313                                                    	V  	
1213	MUNICIPIUL AIUD                  	0	1	10	4	2	1	7	1	0120039000000	01     	       	283829231723312338270013233818                                    	II 	
1222	AIUD                             	515200	1	1213	9	3	1	7	1	0120039100005	0120039	1000079	13233818                                                          	II 	
1231	AIUDUL DE SUS                    	515201	1	1213	10	3	1	7	1	0120039500006	0120039	2000080	13233818382700181900343834                                        	V  	
1277	CIUMBRUD                         	515202	1	1213	11	3	1	7	1	0120039500139	0120039	3002907	1723382816333818                                                  	V  	
1240	GAMBAS                           	515203	1	1213	10	3	1	7	1	0120039500258	0120039	2005072	211528161313                                                      	V  	
1286	GARBOVA DE JOS                   	515204	1	1213	11	3	1	7	1	0120039500260	0120039	3005083	2115331630391300181900253034                                      	V  	
1295	GARBOVA DE SUS                   	515205	1	1213	11	3	1	7	1	0120039500261	0120039	3005084	2115331630391300181900343834                                      	V  	
1302	GARBOVITA                        	515206	1	1213	11	3	1	7	1	0120039500262	0120039	3005090	211533163039232313                                                	V  	
1259	MAGINA                           	515207	1	1213	10	3	1	7	1	0120039500378	0120039	2007086	282821232913                                                      	V  	
1268	PAGIDA                           	515208	1	1213	10	3	1	7	1	0120039500449	0120039	2008525	313121231813                                                      	V  	
1311	SANCRAI                          	515209	1	1213	11	3	1	7	1	0120039500552	0120039	3010574	34152917331323                                                    	V  	
1320	TIFRA                            	515210	1	1213	11	3	1	7	1	0120039500636	0120039	3012378	2323203313                                                        	V  	
1348	MUNICIPIUL BLAJ                  	0	1	10	4	2	1	7	1	0120041000000	01     	       	283829231723312338270016271325                                    	II 	
1357	BLAJ                             	515400	1	1348	9	3	1	7	1	0120041100054	0120041	1001132	16271325                                                          	II 	
1366	DELENI-OBARSIE                   	515401	1	1348	10	3	1	7	1	0120041500197	0120041	2004011	1819271929230130161533332319                                      	V  	
1375	FLITESTI                         	515402	1	1348	10	3	1	7	1	0120041500244	0120041	2004777	2027233619193623                                                  	V  	
1384	IZVOARELE                        	515403	1	1348	10	3	1	7	1	0120041500327	0120041	2006269	234239301333192719                                                	V  	
1428	MANARADE                         	515404	1	1348	11	3	1	7	1	0120041500383	0120041	3007159	2828292933131819                                                  	V  	
1393	PETRISAT                         	515405	1	1348	10	3	1	7	1	0120041500469	0120041	2008796	3119363323341336                                                  	V  	
1437	SPATAC                           	515406	1	1348	11	3	1	7	1	0120041500573	0120041	3011132	343131361317                                                      	V  	
1400	TIUR                             	515407	1	1348	10	3	1	7	1	0120041500617	0120041	2012073	36233833                                                          	V  	
1419	VEZA                             	515408	1	1348	10	3	1	7	1	0120041500700	0120041	2013318	39194213                                                          	V  	
1874	MUNICIPIUL SEBES                 	0	1	10	4	2	1	7	1	0120042000000	01     	       	28382923172331233827003419161919                                  	II 	
1883	SEBES                            	515800	1	1874	9	3	1	7	1	0120042100558	0120042	1010791	3419161919                                                        	II 	
1892	LANCRAM                          	515801	1	1874	10	3	1	7	1	0120042500337	0120042	2006446	27132917333328                                                    	V  	
1909	PETRESTI                         	515850	1	1874	10	3	1	7	1	0120042500468	0120042	2008771	3119363319193623                                                  	V  	
1918	RAHAU                            	515802	1	1874	11	3	1	7	1	0120042500521	0120042	3009789	3333222238                                                        	V  	
1151	ORAS ABRUD                       	0	1	10	2	2	1	7	1	0130046000000	01     	       	30331313001316333818                                              	III	
1160	ABRUD                            	515100	1	1151	17	3	1	7	1	0130046200001	0130046	1000009	1316333818                                                        	III	
1179	ABRUD-SAT                        	515101	1	1151	18	3	1	7	1	0130046600002	0130046	2000011	131633381801341336                                                	V  	
1188	GURA CORNEI                      	515102	1	1151	18	3	1	7	1	0130046600285	0130046	2005598	2138331300173033291923                                            	V  	
1197	SOHARU                           	515103	1	1151	18	3	1	7	1	0130046600569	0130046	2011089	343022133338                                                      	V  	
2915	ORAS BAIA DE ARIES               	0	1	10	2	2	1	7	1	0130047000000	01     	       	303313130016132313001819001333231919                              	III	
2924	BAIA DE ARIES                    	515300	1	2915	17	3	1	7	1	0130047200022	0130047	1000421	16132313001819001333231919                                        	III	
2933	BRAZESTI                         	515301	1	2915	19	3	1	7	1	0130047600079	0130047	3001610	1633334219193623                                                  	V  	
2942	CIOARA DE SUS                    	515302	1	2915	19	3	1	7	1	0130047600128	0130047	3002756	17233013331300181900343834                                        	V  	
2951	MUNCELU                          	515303	1	2915	19	3	1	7	1	0130047600414	0130047	3007793	28382917192738                                                    	V  	
2960	SARTAS                           	515304	1	2915	19	3	1	7	1	0130047600542	0130047	3010286	341333363636                                                      	V  	
2979	SIMULESTI                        	515305	1	2915	19	3	1	7	1	0130047600567	0130047	3010941	342328382719193623                                                	V  	
1455	ORAS CAMPENI                     	0	1	10	2	2	1	7	1	0130048000000	01     	       	303313130017152831192923                                          	III	
1464	CAMPENI                          	515500	1	1455	17	3	1	7	1	0130048200109	0130048	1002334	17152831192923                                                    	III	
1473	BONCESTI                         	515501	1	1455	18	3	1	7	1	0130048600068	0130048	2001344	1630291719193623                                                  	V  	
1482	BORLESTI                         	515502	1	1455	18	3	1	7	1	0130048600070	0130048	2001378	1630332719193623                                                  	V  	
1491	BOTESTI                          	515503	1	1455	18	3	1	7	1	0130048600072	0130048	2001439	16303619193623                                                    	V  	
1507	CERTEGE                          	515504	1	1455	18	3	1	7	1	0130048600118	0130048	2002526	17193336192119                                                    	V  	
1516	COASTA VASCULUI                  	515505	1	1455	18	3	1	7	1	0130048600142	0130048	2002996	173013343613003915341738273823                                    	V  	
1525	DANDUT                           	515506	1	1455	18	3	1	7	1	0130048600176	0130048	2003837	181829183838                                                      	V  	
1534	DEALU BISTRII                    	515507	1	1455	18	3	1	7	1	0130048600182	0130048	2003911	18191327380016233436332323                                        	V  	
1543	DEALU CAPSEI                     	515508	1	1455	18	3	1	7	1	0130048600183	0130048	2003914	181913273800171331341923                                          	V  	
1552	DRIC                             	515509	1	1455	18	3	1	7	1	0130048600214	0130048	2004338	18332317                                                          	V  	
1561	FATA ABRUDULUI                   	515510	1	1455	18	3	1	7	1	0130048600228	0130048	2004535	2013131300131633381838273823                                      	V  	
1570	FLORESTI                         	515511	1	1455	18	3	1	7	1	0130048600245	0130048	2004796	2027303319193623                                                  	V  	
1589	FURDUIESTI                       	515512	1	1455	18	3	1	7	1	0130048600250	0130048	2004944	20383318382319193623                                              	V  	
1598	MIHOESTI                         	515513	1	1455	18	3	1	7	1	0130048600404	0130048	2007489	2823223019193623                                                  	V  	
1605	MOTORASTI                        	515514	1	1455	18	3	1	7	1	0130048600412	0130048	2007738	283036303333333623                                                	V  	
1614	PESTE VALEA BISTRII              	515515	1	1455	18	3	1	7	1	0130048600464	0130048	2008722	31193436190039132719130016233436332323                            	V  	
1623	PODURI                           	515516	1	1455	18	3	1	7	1	0130048600484	0130048	2009131	313018383323                                                      	V  	
1632	SORLITA                          	515517	1	1455	18	3	1	7	1	0130048600572	0130048	2011125	34303327232313                                                    	V  	
1641	TOMUSESTI                        	515518	1	1455	18	3	1	7	1	0130048600622	0130048	2012124	363028383819193623                                                	V  	
1650	VALEA BISTRII                    	515519	1	1455	18	3	1	7	1	0130048600648	0130048	2012671	39132719130016233436332323                                        	V  	
1669	VALEA CASELOR                    	515520	1	1455	18	3	1	7	1	0130048600650	0130048	2012694	39132719130017133419273033                                        	V  	
1678	VARSI                            	515521	1	1455	18	3	1	7	1	0130048600692	0130048	2013252	3915333323                                                        	V  	
1696	ORAS CUGIR                       	0	1	10	2	2	1	7	1	0130049000000	01     	       	30331313001738212333                                              	III	
1703	CUGIR                            	515600	1	1696	17	3	1	7	1	0130049200168	0130049	1003682	1738212333                                                        	III	
1712	BOCSITURA                        	515601	1	1696	18	3	1	7	1	0130049600060	0130049	2001210	163017172336383313                                                	V  	
1721	BUCURU                           	515602	1	1696	18	3	1	7	1	0130049600085	0130049	2001766	163817383338                                                      	V  	
1730	CALENE                           	515603	1	1696	18	3	1	7	1	0130049600099	0130049	2002147	171727192919                                                      	V  	
1749	FETENI                           	515604	1	1696	18	3	1	7	1	0130049600242	0130049	2004710	201919192923                                                      	V  	
1758	GOASELE                          	515605	1	1696	18	3	1	7	1	0130049600279	0130049	2005361	21301313192719                                                    	V  	
1767	MUGESTI                          	515606	1	1696	18	3	1	7	1	0130049600413	0130049	2007784	28382119193623                                                    	V  	
1776	VINEREA                          	515607	1	1696	18	3	1	7	1	0130049600705	0130049	2013387	39232919331913                                                    	V  	
1794	ORAS OCNA MURES                  	0	1	10	2	2	1	7	1	0130050000000	01     	       	303313130030172913002838331919                                    	III	
1801	OCNA MURES                       	515700	1	1794	17	3	1	7	1	0130050200434	0130050	1008160	30172913002838331919                                              	III	
1838	CISTEIU DE MURES                 	515701	1	1794	19	3	1	7	1	0130050600132	0130050	3002867	17233436192338001819002838331919                                  	V  	
1847	MICOSLACA                        	515702	1	1794	19	3	1	7	1	0130050600401	0130050	3007422	282317303027131713                                                	V  	
1856	RAZBOIENI-CETATE                 	515703	1	1794	19	3	1	7	1	0130050600524	0130050	3009831	33334216302319292301171936133619                                  	V  	
1810	UIOARA DE JOS                    	515704	1	1794	18	3	1	7	1	0130050600637	0130050	2012443	38233013331300181900253034                                        	V  	
1829	UIOARA DE SUS                    	515705	1	1794	18	3	1	7	1	0130050600638	0130050	2012444	38233013331300181900343834                                        	V  	
8096	ORAS TEIUS                       	0	1	10	2	2	1	7	1	0130051000000	01     	       	30331313003619233838                                              	III	
8103	TEIUS                            	515900	1	8096	17	3	1	7	1	0130051200614	0130051	1011953	3619233838                                                        	III	
8112	BELDIU                           	515901	1	8096	19	3	1	7	1	0130051600044	0130051	3000938	161927182338                                                      	V  	
8121	CAPUD                            	515902	1	8096	19	3	1	7	1	0130051600104	0130051	3002238	1717313818                                                        	V  	
8130	COSLARIU NOU                     	515903	1	8096	19	3	1	7	1	0130051600158	0130051	3003392	173030271333233800293038                                          	V  	
8149	PETELCA                          	515904	1	8096	19	3	1	7	1	0130051600470	0130051	3008812	31191919271713                                                    	V  	
1936	ORAS ZLATNA                      	0	1	10	2	2	1	7	1	0130052000000	01     	       	3033131300422713362913                                            	III	
1945	ZLATNA                           	516100	1	1936	17	3	1	7	1	0130052200716	0130052	1013705	422713362913                                                      	III	
1954	BOTESTI                          	516101	1	1936	19	3	1	7	1	0130052600071	0130052	3001442	16303619193623                                                    	V  	
1963	BUDENI                           	516102	1	1936	19	3	1	7	1	0130052600087	0130052	3001794	163818192923                                                      	V  	
1972	DEALU ROATEI                     	516103	1	1936	19	3	1	7	1	0130052600195	0130052	3003956	181913273800333013361923                                          	V  	
1981	DOBROT                           	516104	1	1936	19	3	1	7	1	0130052600203	0130052	3004141	183016333036                                                      	V  	
1990	DUMBRAVA                         	516105	1	1936	19	3	1	7	1	0130052600219	0130052	3004393	1838281633133913                                                  	V  	
2005	FENES                            	516106	1	1936	19	3	1	7	1	0130052600239	0130052	3004688	2019291919                                                        	V  	
2014	GALATI                           	516107	1	1936	19	3	1	7	1	0130052600251	0130052	3004957	211327131323                                                      	V  	
2023	IZVORU AMPOIULUI                 	516108	1	1936	19	3	1	7	1	0130052600329	0130052	3006303	23423930333800132831302338273823                                  	V  	
2032	PATRANGENI                       	516109	1	1936	19	3	1	7	1	0130052600454	0130052	3008579	31313633152921192923                                              	V  	
2050	PARAU GRUIULUI                   	516110	1	1936	19	3	1	7	1	0130052600459	0130052	3008632	3115333338002133382338273823                                      	V  	
2041	PIRITA                           	516111	1	1936	19	3	1	7	1	0130052600473	0130052	3008899	312333233613                                                      	V  	
2069	PODU LUI PAUL                    	516112	1	1936	19	3	1	7	1	0130052600483	0130052	3009112	31301838002738230031133827                                        	V  	
2078	RUNC                             	516113	1	1936	19	3	1	7	1	0130052600536	0130052	3010160	33382917                                                          	V  	
2087	RUSI                             	516114	1	1936	19	3	1	7	1	0130052600540	0130052	3010217	33383823                                                          	V  	
2096	SUSENI                           	516115	1	1936	19	3	1	7	1	0130052600585	0130052	3011447	343834192923                                                      	V  	
2103	TRAMPOIELE                       	516116	1	1936	19	3	1	7	1	0130052600627	0130052	3012193	36331528313023192719                                              	V  	
2112	VALEA MICA                       	516117	1	1936	19	3	1	7	1	0130052600666	0130052	3012862	39132719130028231717                                              	V  	
2121	VALTORI                          	516118	1	1936	19	3	1	7	1	0130052600690	0130052	3013217	39152736303323                                                    	V  	
2130	ALBAC                            	0	1	10	3	2	3	7	1	0150001000000	01     	       	1327161317                                                        	IV 	
2149	ALBAC                            	517005	1	2130	22	3	3	7	1	0150001300008	0150001	1000085	1327161317                                                        	IV 	
2158	BARASTI                          	517006	1	2130	23	3	3	7	1	0150001700033	0150001	3000742	16163333333623                                                    	V  	
2167	BUDAIESTI                        	517007	1	2130	23	3	3	7	1	0150001700086	0150001	3001788	163818182319193623                                                	V  	
2176	CIONESTI                         	517008	1	2130	23	3	3	7	1	0150001700130	0150001	3002813	1723302919193623                                                  	V  	
2185	COSTESTI                         	517009	1	2130	23	3	3	7	1	0150001700156	0150001	3003348	1730343619193623                                                  	V  	
2194	DEALU LAMASOI                    	517011	1	2130	23	3	3	7	1	0150001700192	0150001	3003932	18191327380027272828283023                                        	V  	
2201	DEVE                             	517012	1	2130	23	3	3	7	1	0150001700199	0150001	3004040	18193919                                                          	V  	
2210	DUPA PLESE                       	517013	1	2130	23	3	3	7	1	0150001700225	0150001	3004478	18383131003127191919                                              	V  	
2229	FATA                             	517014	1	2130	23	3	3	7	1	0150001700227	0150001	3004534	20131313                                                          	V  	
2238	PLESESTI                         	517016	1	2130	23	3	3	7	1	0150001700480	0150001	3008988	3127191919193623                                                  	V  	
2247	POTIONCI                         	517017	1	2130	23	3	3	7	1	0150001700509	0150001	3009431	3130362330291723                                                  	V  	
2256	ROGOZ                            	517018	1	2130	23	3	3	7	1	0150001700530	0150001	3010010	3330213042                                                        	V  	
2265	ROSESTI                          	517019	1	2130	23	3	3	7	1	0150001700532	0150001	3010061	33303019193623                                                    	V  	
2274	RUSESTI                          	517021	1	2130	23	3	3	7	1	0150001700539	0150001	3010203	33383419193623                                                    	V  	
2283	SOHODOL                          	517022	1	2130	23	3	3	7	1	0150001700570	0150001	3011092	34302230183027                                                    	V  	
2292	TAMBORESTI                       	517023	1	2130	23	3	3	7	1	0150001700603	0150001	3011755	36132816303319193623                                              	V  	
2309	ALMASU MARE                      	0	1	10	3	2	3	7	1	0150002000000	01     	       	1327281313380028133319                                            	IV 	
2318	ALMASU MARE                      	517030	1	2309	22	3	3	7	1	0150002300011	0150002	1000153	1327281313380028133319                                            	IV 	
2327	ALMASU DE MIJLOC                 	517031	1	2309	23	3	3	7	1	0150002700010	0150002	3000152	13272813133800181900282325273017                                  	V  	
2336	BRADET                           	517032	1	2309	23	3	3	7	1	0150002700078	0150002	3001557	163333181936                                                      	V  	
2345	CHEILE CIBULUI                   	517033	1	2309	23	3	3	7	1	0150002700123	0150002	3002576	1722192327190017231638273823                                      	V  	
2354	CIB                              	517034	1	2309	23	3	3	7	1	0150002700125	0150002	3002723	172316                                                            	V  	
2363	GLOD                             	517036	1	2309	23	3	3	7	1	0150002700277	0150002	3005337	21273018                                                          	V  	
2372	NADASTIA                         	517038	1	2309	23	3	3	7	1	0150002700419	0150002	3007871	2929181818362313                                                  	V  	
2381	ARIESENI                         	0	1	10	3	2	3	7	1	0150003000000	01     	       	1333231919192923                                                  	IV 	
2390	ARIESENI                         	517040	1	2381	22	3	3	7	1	0150003300014	0150003	1000302	1333231919192923                                                  	IV 	
2407	AVRAMESTI                        	517041	1	2381	23	3	3	7	1	0150003700020	0150003	3000380	133933332819193623                                                	V  	
2416	BUBESTI                          	517042	1	2381	23	3	3	7	1	0150003700080	0150003	3001705	16381619193623                                                    	V  	
2425	CASA DE PIATRA                   	517043	1	2381	23	3	3	7	1	0150003700098	0150003	3002069	1713341300181900312313363333                                      	V  	
2434	COBLES                           	517044	1	2381	23	3	3	7	1	0150003700143	0150003	3003001	173016271919                                                      	V  	
2443	DEALU BAJULUI                    	517046	1	2381	23	3	3	7	1	0150003700181	0150003	3003908	18191327380016132538273823                                        	V  	
2452	FATA CRISTESEI                   	517047	1	2381	23	3	3	7	1	0150003700229	0150003	3004537	2013131300173323343619341923                                      	V  	
2461	FATA LAPUSULUI                   	517048	1	2381	23	3	3	7	1	0150003700230	0150003	3004538	2013131300272731383838273823                                      	V  	
2470	GALBENA                          	517049	1	2381	23	3	3	7	1	0150003700252	0150003	3004961	21132716192913                                                    	V  	
2489	HODOBANA                         	517051	1	2381	23	3	3	7	1	0150003700304	0150003	3005849	2230183016132913                                                  	V  	
2498	IZLAZ                            	517052	1	2381	23	3	3	7	1	0150003700325	0150003	3006256	2342271342                                                        	V  	
2504	PANTESTI                         	517053	1	2381	23	3	3	7	1	0150003700451	0150003	3008555	3131293619193623                                                  	V  	
2513	PATRAHAITESTI                    	517054	1	2381	23	3	3	7	1	0150003700453	0150003	3008576	31313633332222232319193623                                        	V  	
2522	POIENITA                         	517056	1	2381	23	3	3	7	1	0150003700499	0150003	3009297	3130231929232313                                                  	V  	
2531	RAVICESTI                        	517057	1	2381	23	3	3	7	1	0150003700517	0150003	3009719	331339231719193623                                                	V  	
2540	STURU                            	517058	1	2381	23	3	3	7	1	0150003700581	0150003	3011368	3436383338                                                        	V  	
2559	STEI-ARIESENI                    	517059	1	2381	23	3	3	7	1	0150003700599	0150003	3011693	38361923011333231919192923                                        	V  	
2568	VANVUCESTI                       	517061	1	2381	23	3	3	7	1	0150003700681	0150003	3013041	39132939381719193623                                              	V  	
2577	AVRAM IANCU                      	0	1	10	3	2	3	7	1	0150004000000	01     	       	1339331328002313291738                                            	IV 	
2586	AVRAM IANCU                      	517065	1	2577	22	3	3	7	1	0150004300018	0150004	1000371	1339331328002313291738                                            	IV 	
2595	ACHIMETESTI                      	517066	1	2577	23	3	3	7	1	0150004700003	0150004	3000017	1317222328191919193623                                            	V  	
2602	AVRAMESTI                        	517067	1	2577	23	3	3	7	1	0150004700019	0150004	3000379	133933332819193623                                                	V  	
2611	BADAI                            	517068	1	2577	23	3	3	7	1	0150004700025	0150004	3000563	1616181823                                                        	V  	
2620	BOLDESTI                         	517069	1	2577	23	3	3	7	1	0150004700066	0150004	3001327	1630271819193623                                                  	V  	
2639	CALUGARESTI                      	517071	1	2577	23	3	3	7	1	0150004700100	0150004	3002199	1717273821213319193623                                            	V  	
2648	CASOAIA                          	517072	1	2577	23	3	3	7	1	0150004700107	0150004	3002279	17173430132313                                                    	V  	
2657	CANDESTI                         	517073	1	2577	23	3	3	7	1	0150004700111	0150004	3002366	1715291819193623                                                  	V  	
2666	CARASTI                          	517074	1	2577	23	3	3	7	1	0150004700112	0150004	3002373	17153333333623                                                    	V  	
2675	CARTULESTI                       	517076	1	2577	23	3	3	7	1	0150004700113	0150004	3002419	17153333382719193623                                              	V  	
2684	COCESTI                          	517077	1	2577	23	3	3	7	1	0150004700144	0150004	3003010	17301719193623                                                    	V  	
2693	COCOSESTI                        	517078	1	2577	23	3	3	7	1	0150004700145	0150004	3003033	173017303019193623                                                	V  	
2700	COROIESTI                        	517079	1	2577	23	3	3	7	1	0150004700153	0150004	3003299	173033302319193623                                                	V  	
2719	DEALU CRISULUI                   	517081	1	2577	23	3	3	7	1	0150004700185	0150004	3003918	1819132738001733232338273823                                      	V  	
2728	DOLESTI                          	517082	1	2577	23	3	3	7	1	0150004700205	0150004	3004171	18302719193623                                                    	V  	
2737	DUMACESTI                        	517083	1	2577	23	3	3	7	1	0150004700216	0150004	3004383	183828281719193623                                                	V  	
2746	GOJEIESTI                        	517084	1	2577	23	3	3	7	1	0150004700281	0150004	3005389	213025192319193623                                                	V  	
2755	HELERESTI                        	517086	1	2577	23	3	3	7	1	0150004700297	0150004	3005781	221927193319193623                                                	V  	
2764	INCESTI                          	517087	1	2577	23	3	3	7	1	0150004700318	0150004	3006146	23291719193623                                                    	V  	
2773	JOJEI                            	517088	1	2577	23	3	3	7	1	0150004700334	0150004	3006393	2530251923                                                        	V  	
2782	MARTESTI                         	517089	1	2577	23	3	3	7	1	0150004700389	0150004	3007240	2828333619193623                                                  	V  	
2791	ORGESTI                          	517091	1	2577	23	3	3	7	1	0150004700445	0150004	3008327	30332119193623                                                    	V  	
2808	PATRUTESTI                       	517092	1	2577	23	3	3	7	1	0150004700456	0150004	3008583	31313633383819193623                                              	V  	
2817	PLAI                             	517093	1	2577	23	3	3	7	1	0150004700477	0150004	3008944	31271323                                                          	V  	
2826	PUSELESTI                        	517094	1	2577	23	3	3	7	1	0150004700515	0150004	3009628	313838192719193623                                                	V  	
2835	SOICESTI                         	517096	1	2577	23	3	3	7	1	0150004700593	0150004	3011621	2330231719193623                                                  	V  	
2844	STERTESTI                        	517097	1	2577	23	3	3	7	1	0150004700600	0150004	3011695	233619333619193623                                                	V  	
2853	TARSA                            	517098	1	2577	23	3	3	7	1	0150004700610	0150004	3011919	3615333413                                                        	V  	
2862	TARSA-PLAI                       	517099	1	2577	23	3	3	7	1	0150004700611	0150004	3011922	36153334130131271323                                              	V  	
2871	VALEA MACIULUI                   	517101	1	2577	23	3	3	7	1	0150004700663	0150004	3012815	3913271913002813172338273823                                      	V  	
2880	VALEA UTULUI                     	517102	1	2577	23	3	3	7	1	0150004700676	0150004	3013011	391327191300383838273823                                          	V  	
2899	VERDESTI                         	517103	1	2577	23	3	3	7	1	0150004700698	0150004	3013292	3919331819193623                                                  	V  	
2906	VIDRISOARA                       	517104	1	2577	23	3	3	7	1	0150004700703	0150004	3013344	39231833232330133313                                              	V  	
2988	BERGHIN                          	0	1	10	3	2	3	7	1	0150005000000	01     	       	16193321222329                                                    	IV 	
2997	BERGHIN                          	517110	1	2988	22	3	3	7	1	0150005300046	0150005	1001007	16193321222329                                                    	IV 	
3002	GHIRBOM                          	517111	1	2988	23	3	3	7	1	0150005700274	0150005	3005246	21222333163028                                                    	V  	
3011	HENIG                            	517112	1	2988	23	3	3	7	1	0150005700299	0150005	3005788	2219292321                                                        	V  	
3020	STRAJA                           	517113	1	2988	23	3	3	7	1	0150005700578	0150005	3011302	343633132513                                                      	V  	
3039	BISTRA                           	0	1	10	3	2	3	7	1	0150006000000	01     	       	162334363313                                                      	IV 	
3048	BISTRA                           	517115	1	3039	22	3	3	7	1	0150006300053	0150006	1001102	162334363313                                                      	IV 	
3057	ARONESTI                         	517116	1	3039	23	3	3	7	1	0150006700015	0150006	3000323	1333302919193623                                                  	V  	
3066	BALESTI                          	517117	1	3039	23	3	3	7	1	0150006700029	0150006	3000668	16162719193623                                                    	V  	
3075	BALESTI-CATUN                    	517118	1	3039	23	3	3	7	1	0150006700030	0150006	3000670	16162719193623011717363829                                        	V  	
3084	BARLESTI                         	517119	1	3039	23	3	3	7	1	0150006700038	0150006	3000838	1615332719193623                                                  	V  	
3093	CHELETENI                        	517121	1	3039	23	3	3	7	1	0150006700124	0150006	3002578	172219271936192923                                                	V  	
3100	CIULDESTI                        	517122	1	3039	23	3	3	7	1	0150006700138	0150006	3002894	172338271819193623                                                	V  	
3119	CRETESTI                         	517123	1	3039	23	3	3	7	1	0150006700163	0150006	3003549	1733191919193623                                                  	V  	
3137	DAMBURENI                        	517124	1	3039	23	3	3	7	1	0150006700178	0150006	3003874	181528163833192923                                                	V  	
3128	DEALU MUNTELUI                   	517126	1	3039	23	3	3	7	1	0150006700193	0150006	3003948	1819132738002838293619273823                                      	V  	
3146	DURASTI                          	517127	1	3039	23	3	3	7	1	0150006700226	0150006	3004481	18383333333623                                                    	V  	
3155	GANESTI                          	517128	1	3039	23	3	3	7	1	0150006700257	0150006	3005039	21212919193623                                                    	V  	
3164	GARDE                            	517129	1	3039	23	3	3	7	1	0150006700266	0150006	3005100	2115331819                                                        	V  	
3173	HODISESTI                        	517131	1	3039	23	3	3	7	1	0150006700303	0150006	3005846	223018232319193623                                                	V  	
3182	HUDRICESTI                       	517132	1	3039	23	3	3	7	1	0150006700308	0150006	3005947	22381833231719193623                                              	V  	
3191	LIPAIA                           	517133	1	3039	23	3	3	7	1	0150006700348	0150006	3006644	272331132313                                                      	V  	
3208	LUNCA LARGA                      	517134	1	3039	23	3	3	7	1	0150006700364	0150006	3006836	2738291713002713332121                                            	V  	
3217	LUNCA MERILOR                    	517136	1	3039	23	3	3	7	1	0150006700365	0150006	3006841	27382917130028193323273033                                        	V  	
3226	MIHAIESTI                        	517137	1	3039	23	3	3	7	1	0150006700403	0150006	3007473	282322222319193623                                                	V  	
3235	NAMAS                            	517138	1	3039	23	3	3	7	1	0150006700420	0150006	3007879	2929281313                                                        	V  	
3244	NOVACESTI                        	517139	1	3039	23	3	3	7	1	0150006700431	0150006	3008086	293039391719193623                                                	V  	
3253	PERJESTI                         	517141	1	3039	23	3	3	7	1	0150006700463	0150006	3008712	3119332519193623                                                  	V  	
3262	POIANA                           	517142	1	3039	23	3	3	7	1	0150006700487	0150006	3009178	313023132913                                                      	V  	
3271	POIU                             	517143	1	3039	23	3	3	7	1	0150006700500	0150006	3009305	31302338                                                          	V  	
3280	RATITIS                          	517144	1	3039	23	3	3	7	1	0150006700523	0150006	3009818	33333623362323                                                    	V  	
3299	RUNCURI                          	517146	1	3039	23	3	3	7	1	0150006700538	0150006	3010180	33382917383323                                                    	V  	
3306	SALAGESTI                        	517147	1	3039	23	3	3	7	1	0150006700543	0150006	3010414	343427272119193623                                                	V  	
3315	STEFANCA                         	517148	1	3039	23	3	3	7	1	0150006700598	0150006	3011675	2336192013291713                                                  	V  	
3324	TOLACESTI                        	517149	1	3039	23	3	3	7	1	0150006700619	0150006	3012102	363027271719193623                                                	V  	
3333	TOMNATEC                         	517151	1	3039	23	3	3	7	1	0150006700621	0150006	3012112	3630282913361917                                                  	V  	
3342	TRISORESTI                       	517152	1	3039	23	3	3	7	1	0150006700631	0150006	3012224	36332323303319193623                                              	V  	
3351	TARANESTI                        	517153	1	3039	23	3	3	7	1	0150006700634	0150006	3012335	232333332919193623                                                	V  	
3379	VARSII MARI                      	517156	1	3039	23	3	3	7	1	0150006700693	0150006	3013254	3915333323230028133323                                            	V  	
3388	VARSII MICI                      	517157	1	3039	23	3	3	7	1	0150006700694	0150006	3013255	3915333323230028231723                                            	V  	
3360	VARSI-RONTU                      	517154	1	3039	23	3	3	7	1	0150006700695	0150006	3013253	3915333323013330293638                                            	V  	
3397	BLANDIANA                        	0	1	10	3	2	3	7	1	0150007000000	01     	       	162713291823132913                                                	IV 	
3404	BLANDIANA                        	517160	1	3397	22	3	3	7	1	0150007300055	0150007	1001136	162713291823132913                                                	IV 	
3413	ACMARIU                          	517161	1	3397	23	3	3	7	1	0150007700004	0150007	3000021	13172813332338                                                    	V  	
