SIRUTA	DENLOC	CODP	JUD	SIRSUP	TIP	NIV	MED	REGIUNE	FSJ	FSL	FS2	FS3	POND	rang	fictiv
10	JUDETUL ALBA                     	0	1	1	40	1	0	7	1	1.00E+11	       	       	2.54E+23	   	
1017	MUNICIPIUL ALBA IULIA            	0	1	10	1	2	1	7	1	1.10E+11	1	       	2.84E+41	II 	
1026	ALBA IULIA                       	510005	1	1017	9	3	1	7	1	1.10E+11	110040	1000084	1.33E+19	II 	
1035	B?R?BAN?                         	510001	1	1017	10	3	1	7	1	1.10E+11	110040	2000732	1.62E+15	V  	
1044	MICE?TI                          	510002	1	1017	10	3	1	7	1	1.10E+11	110040	2007411	2.82E+13	V  	
1053	OARDA                            	510003	1	1017	10	3	1	7	1	1.10E+11	110040	2008111	3013331813	V  	
1062	PÂCLI?A                          	510004	1	1017	10	3	1	7	1	1.10E+11	110040	2008620	3.12E+13	V  	
1213	MUNICIPIUL AIUD                  	0	1	10	4	2	1	7	1	1.20E+11	1	       	2.84E+29	II 	
1222	AIUD                             	515200	1	1213	9	3	1	7	1	1.20E+11	120039	1000079	13233818	II 	
1231	AIUDUL DE SUS                    	515201	1	1213	10	3	1	7	1	1.20E+11	120039	2000080	1.32E+25	V  	
1277	CIUMBRUD                         	515202	1	1213	11	3	1	7	1	1.20E+11	120039	3002907	1.72E+15	V  	
1240	GÂMBA?                           	515203	1	1213	10	3	1	7	1	1.20E+11	120039	2005072	2.12E+11	V  	
1286	GÂRBOVA DE JOS                   	515204	1	1213	11	3	1	7	1	1.20E+11	120039	3005083	2.12E+27	V  	
1295	GÂRBOVA DE SUS                   	515205	1	1213	11	3	1	7	1	1.20E+11	120039	3005084	2.12E+27	V  	
1302	GÂRBOVI?A                        	515206	1	1213	11	3	1	7	1	1.20E+11	120039	3005090	2.12E+17	V  	
1259	M?GINA                           	515207	1	1213	10	3	1	7	1	1.20E+11	120039	2007086	2.83E+11	V  	
1268	P?GIDA                           	515208	1	1213	10	3	1	7	1	1.20E+11	120039	2008525	3.13E+11	V  	
1311	SÂNCRAI                          	515209	1	1213	11	3	1	7	1	1.20E+11	120039	3010574	3.42E+13	V  	
1320	?IFRA                            	515210	1	1213	11	3	1	7	1	1.20E+11	120039	3012378	2323203313	V  	
1348	MUNICIPIUL BLAJ                  	0	1	10	4	2	1	7	1	1.20E+11	1	       	2.84E+29	II 	
1357	BLAJ                             	515400	1	1348	9	3	1	7	1	1.20E+11	120041	1001132	16271325	II 	
1366	DELENI-OBÂR?IE                   	515401	1	1348	10	3	1	7	1	1.20E+11	120041	2004011	1.82E+27	V  	
1375	FLITE?TI                         	515402	1	1348	10	3	1	7	1	1.20E+11	120041	2004777	2.03E+15	V  	
1384	IZVOARELE                        	515403	1	1348	10	3	1	7	1	1.20E+11	120041	2006269	2.34E+17	V  	
1428	M?N?RADE                         	515404	1	1348	11	3	1	7	1	1.20E+11	120041	3007159	2.83E+15	V  	
1393	PETRISAT                         	515405	1	1348	10	3	1	7	1	1.20E+11	120041	2008796	3.12E+15	V  	
1437	SP?TAC                           	515406	1	1348	11	3	1	7	1	1.20E+11	120041	3011132	3.43E+11	V  	
1400	TIUR                             	515407	1	1348	10	3	1	7	1	1.20E+11	120041	2012073	36233833	V  	
1419	VEZA                             	515408	1	1348	10	3	1	7	1	1.20E+11	120041	2013318	39194213	V  	
1874	MUNICIPIUL SEBE?                 	0	1	10	4	2	1	7	1	1.20E+11	1	       	2.84E+31	II 	
1883	SEBE?                            	515800	1	1874	9	3	1	7	1	1.20E+11	120042	1010791	3419161919	II 	
1892	LANCR?M                          	515801	1	1874	10	3	1	7	1	1.20E+11	120042	2006446	2.71E+13	V  	
1909	PETRE?TI                         	515850	1	1874	10	3	1	7	1	1.20E+11	120042	2008771	3.12E+15	V  	
1918	R?H?U                            	515802	1	1874	11	3	1	7	1	1.20E+11	120042	3009789	3333222238	V  	
1151	ORA? ABRUD                       	0	1	10	2	2	1	7	1	1.30E+11	1	       	3.03E+19	III	
1160	ABRUD                            	515100	1	1151	17	3	1	7	1	1.30E+11	130046	1000009	1316333818	III	
1179	ABRUD-SAT                        	515101	1	1151	18	3	1	7	1	1.30E+11	130046	2000011	1.32E+17	V  	
1188	GURA CORNEI                      	515102	1	1151	18	3	1	7	1	1.30E+11	130046	2005598	2.14E+21	V  	
1197	SOHARU                           	515103	1	1151	18	3	1	7	1	1.30E+11	130046	2011089	3.43E+11	V  	
2915	ORA? BAIA DE ARIE?               	0	1	10	2	2	1	7	1	1.30E+11	1	       	3.03E+35	III	
2924	BAIA DE ARIE?                    	515300	1	2915	17	3	1	7	1	1.30E+11	130047	1000421	1.61E+25	III	
2933	BR?ZE?TI                         	515301	1	2915	19	3	1	7	1	1.30E+11	130047	3001610	1.63E+15	V  	
2942	CIOARA DE SUS                    	515302	1	2915	19	3	1	7	1	1.30E+11	130047	3002756	1.72E+25	V  	
2951	MUNCELU                          	515303	1	2915	19	3	1	7	1	1.30E+11	130047	3007793	2.84E+13	V  	
2960	SART??                           	515304	1	2915	19	3	1	7	1	1.30E+11	130047	3010286	3.41E+11	V  	
2979	SIMULE?TI                        	515305	1	2915	19	3	1	7	1	1.30E+11	130047	3010941	3.42E+17	V  	
1455	ORA? CÂMPENI                     	0	1	10	2	2	1	7	1	1.30E+11	1	       	3.03E+23	III	
1464	CÂMPENI                          	515500	1	1455	17	3	1	7	1	1.30E+11	130048	1002334	1.72E+13	III	
1473	BONCE?TI                         	515501	1	1455	18	3	1	7	1	1.30E+11	130048	2001344	1.63E+15	V  	
1482	BORLE?TI                         	515502	1	1455	18	3	1	7	1	1.30E+11	130048	2001378	1.63E+15	V  	
1491	BOTE?TI                          	515503	1	1455	18	3	1	7	1	1.30E+11	130048	2001439	1.63E+13	V  	
1507	CERTEGE                          	515504	1	1455	18	3	1	7	1	1.30E+11	130048	2002526	1.72E+13	V  	
1516	COASTA VÂSCULUI                  	515505	1	1455	18	3	1	7	1	1.30E+11	130048	2002996	1.73E+29	V  	
1525	D?NDU?                           	515506	1	1455	18	3	1	7	1	1.30E+11	130048	2003837	1.82E+11	V  	
1534	DEALU BISTRII                    	515507	1	1455	18	3	1	7	1	1.30E+11	130048	2003911	1.82E+25	V  	
1543	DEALU CAPSEI                     	515508	1	1455	18	3	1	7	1	1.30E+11	130048	2003914	1.82E+23	V  	
1552	DRIC                             	515509	1	1455	18	3	1	7	1	1.30E+11	130048	2004338	18332317	V  	
1561	FA?A ABRUDULUI                   	515510	1	1455	18	3	1	7	1	1.30E+11	130048	2004535	2.01E+27	V  	
1570	FLORE?TI                         	515511	1	1455	18	3	1	7	1	1.30E+11	130048	2004796	2.03E+15	V  	
1589	FURDUIE?TI                       	515512	1	1455	18	3	1	7	1	1.30E+11	130048	2004944	2.04E+19	V  	
1598	MIHOE?TI                         	515513	1	1455	18	3	1	7	1	1.30E+11	130048	2007489	2.82E+15	V  	
